Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio;Pulso_Iny_Acumulado
11:1:54;9;6.380617;-75.470440;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:54;9;6.380617;-75.470439;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:54;9;6.380617;-75.470439;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380617;-75.470439;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380616;-75.470439;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380616;-75.470439;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380616;-75.470438;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380616;-75.470438;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380616;-75.470438;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380616;-75.470438;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380615;-75.470438;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380615;-75.470437;0.00;0;1414;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:55;9;6.380615;-75.470437;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380615;-75.470437;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380615;-75.470437;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380614;-75.470437;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380614;-75.470437;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380614;-75.470437;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380614;-75.470437;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380614;-75.470437;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380614;-75.470436;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380613;-75.470436;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:56;9;6.380613;-75.470436;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380613;-75.470436;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380613;-75.470436;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380613;-75.470436;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380613;-75.470435;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380612;-75.470435;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380612;-75.470435;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380612;-75.470435;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380612;-75.470435;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380612;-75.470435;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:57;9;6.380611;-75.470434;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380611;-75.470434;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380611;-75.470434;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380611;-75.470434;0.00;0;1415;-0.090;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.090;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380611;-75.470434;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.086;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380611;-75.470434;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.083;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380611;-75.470434;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.079;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380611;-75.470434;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.076;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380611;-75.470434;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.072;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380610;-75.470433;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.069;0.00;0.0000;0.00;0.00;0
11:1:58;9;6.380610;-75.470433;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.066;0.00;0.0000;0.00;0.00;0
11:1:59;9;6.380610;-75.470433;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.063;0.00;0.0000;0.00;0.00;0
11:1:59;9;6.380610;-75.470433;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.060;0.00;0.0000;0.00;0.00;0
11:1:59;9;6.380609;-75.470433;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.057;0.00;0.0000;0.00;0.00;0
11:1:59;9;6.380609;-75.470433;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.054;0.00;0.0000;0.00;0.00;0
11:1:59;9;6.380609;-75.470433;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.051;0.00;0.0000;0.00;0.00;0
11:1:59;9;6.380609;-75.470432;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.048;0.00;0.0000;0.00;0.00;0
11:1:59;9;6.380609;-75.470432;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.045;0.00;0.0000;0.00;0.00;0
11:1:59;9;6.380608;-75.470432;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.043;0.00;0.0000;0.00;0.00;0
11:1:59;9;6.380608;-75.470432;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.040;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380608;-75.470432;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.038;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380608;-75.470432;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.035;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380608;-75.470432;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.033;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380608;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.030;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380608;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.028;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380607;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.026;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380607;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.023;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380607;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.021;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380607;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.019;0.00;0.0000;0.00;0.00;0
11:2:0;9;6.380607;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.017;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380607;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.015;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380607;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.013;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380607;-75.470431;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.011;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380606;-75.470430;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.009;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380606;-75.470430;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.007;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380606;-75.470430;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.005;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380606;-75.470430;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.003;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380606;-75.470430;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;-0.001;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380606;-75.470430;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.001;0.00;0.0000;0.00;0.00;0
11:2:1;9;6.380606;-75.470430;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.002;0.00;0.0000;0.00;0.00;0
11:2:2;9;6.380605;-75.470429;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.004;0.00;0.0000;0.00;0.00;0
11:2:2;9;6.380605;-75.470429;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.006;0.00;0.0000;0.00;0.00;0
11:2:2;9;6.380605;-75.470429;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.008;0.00;0.0000;0.00;0.00;0
11:2:2;9;6.380605;-75.470429;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.009;0.00;0.0000;0.00;0.00;0
11:2:2;9;6.380605;-75.470429;0.00;0;1415;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.011;0.00;0.0000;0.00;0.00;0
