Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio;Pulso_Iny_Acumulado;STFT;LTFT
13:58:34;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1612;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0041;0.00;0.00;0;0.00;0.00
13:58:34;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1612;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0041;0.00;0.00;0;0.00;0.00
13:58:34;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1661;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0041;0.00;0.00;0;0.00;0.00
13:58:34;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1651;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.32;0.0042;0.00;0.00;0;0.00;0.00
13:58:34;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1644;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.32;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1637;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1599;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1621;7;0;32;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1603;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1603;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470471;0.00;0;1412;0.000;0.000;1623;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470470;0.00;0;1412;0.000;0.000;1596;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470470;0.00;0;1412;0.000;0.000;1641;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.32;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470470;0.00;0;1411;0.000;0.000;1646;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0042;0.00;0.00;0;0.00;0.00
13:58:35;13;6.380682;-75.470470;0.00;0;1411;0.000;0.000;1620;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380682;-75.470470;0.00;0;1411;0.000;0.000;1624;8;0;32;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380682;-75.470470;0.00;0;1411;0.000;0.000;1617;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380682;-75.470470;0.00;0;1411;0.000;0.000;1605;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380682;-75.470470;0.00;0;1411;0.000;0.000;1605;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380682;-75.470470;0.00;0;1411;0.000;0.000;1625;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380682;-75.470470;0.00;0;1411;0.000;0.000;1619;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1599;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1656;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1608;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:36;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1607;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1616;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0043;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1635;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.32;0.0044;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1614;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0044;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1607;7;0;32;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0044;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1610;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0044;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1628;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0044;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1633;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.32;0.0044;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1579;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.30;0.0044;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470470;0.00;0;1411;0.000;0.000;1579;8;0;32;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0044;0.00;0.00;0;0.00;0.00
13:58:37;13;6.380681;-75.470469;0.00;0;1411;0.000;0.000;1627;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0044;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380681;-75.470469;0.00;0;1411;0.000;0.000;1603;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0044;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1603;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0044;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1604;7;0;32;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1603;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1632;7;0;32;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1618;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1618;7;0;32;1.00;100;0.00;0;0.00;0.00;0.000;0.32;0.0045;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1613;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1648;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.32;0.0045;0.00;0.00;0;0.00;0.00
13:58:38;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1618;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:39;13;6.380680;-75.470469;0.00;0;1411;0.000;0.000;1624;8;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:39;13;6.380679;-75.470469;0.00;0;1411;0.000;0.000;1610;8;0;32;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:39;13;6.380679;-75.470469;0.00;0;1411;0.000;0.000;1599;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:39;13;6.380679;-75.470468;0.00;0;1411;0.000;0.000;1621;7;0;32;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0045;0.00;0.00;0;0.00;0.00
13:58:39;13;6.380679;-75.470468;0.00;0;1411;0.000;0.000;1617;7;0;31;1.00;100;0.00;0;0.00;0.00;0.000;0.31;0.0046;0.00;0.00;0;0.00;0.00
